
 N=880 NThread=1 | sum=136.916484 Milliseconds passsed: 46

 N=2793 NThread=1 | sum=440.161794 Milliseconds passsed: 155

 N=4706 NThread=1 | sum=744.358105 Milliseconds passsed: 404

 N=6619 NThread=1 | sum=1023.088808 Milliseconds passsed: 795

 N=8532 NThread=1 | sum=1339.970167 Milliseconds passsed: 1301

 N=10445 NThread=1 | sum=1687.046525 Milliseconds passsed: 1971

 N=12358 NThread=1 | sum=1941.736863 Milliseconds passsed: 2670

 N=14271 NThread=1 | sum=2239.852504 Milliseconds passsed: 3602

 N=16184 NThread=1 | sum=2511.962975 Milliseconds passsed: 4622

 N=18097 NThread=1 | sum=2732.326705 Milliseconds passsed: 5761

 N=20010 NThread=1 | sum=3076.025735 Milliseconds passsed: 7113

 N=880 NThread=2 | sum=136.916484 Milliseconds passsed: 45

 N=2793 NThread=2 | sum=440.161794 Milliseconds passsed: 159

 N=4706 NThread=2 | sum=744.358105 Milliseconds passsed: 406

 N=6619 NThread=2 | sum=1023.088808 Milliseconds passsed: 805

 N=8532 NThread=2 | sum=1339.970167 Milliseconds passsed: 1319

 N=10445 NThread=2 | sum=1687.046525 Milliseconds passsed: 1990

 N=12358 NThread=2 | sum=1941.736863 Milliseconds passsed: 2702

 N=14271 NThread=2 | sum=2239.852504 Milliseconds passsed: 3600

 N=16184 NThread=2 | sum=2511.962975 Milliseconds passsed: 4657

 N=18097 NThread=2 | sum=2732.326705 Milliseconds passsed: 5729

 N=20010 NThread=2 | sum=3076.025735 Milliseconds passsed: 7069

 N=880 NThread=3 | sum=136.916484 Milliseconds passsed: 48

 N=2793 NThread=3 | sum=440.161794 Milliseconds passsed: 165

 N=4706 NThread=3 | sum=744.358105 Milliseconds passsed: 410

 N=6619 NThread=3 | sum=1023.088808 Milliseconds passsed: 896

 N=8532 NThread=3 | sum=1339.970167 Milliseconds passsed: 1306

 N=10445 NThread=3 | sum=1687.046525 Milliseconds passsed: 1979

 N=12358 NThread=3 | sum=1941.736863 Milliseconds passsed: 2698

 N=14271 NThread=3 | sum=2239.852504 Milliseconds passsed: 3612

 N=16184 NThread=3 | sum=2511.962975 Milliseconds passsed: 4634

 N=18097 NThread=3 | sum=2732.326705 Milliseconds passsed: 6657

 N=20010 NThread=3 | sum=3076.025735 Milliseconds passsed: 7062

 N=880 NThread=4 | sum=136.916484 Milliseconds passsed: 46

 N=2793 NThread=4 | sum=440.161794 Milliseconds passsed: 163

 N=4706 NThread=4 | sum=744.358105 Milliseconds passsed: 398

 N=6619 NThread=4 | sum=1023.088808 Milliseconds passsed: 803

 N=8532 NThread=4 | sum=1339.970167 Milliseconds passsed: 1307

 N=10445 NThread=4 | sum=1687.046525 Milliseconds passsed: 1987

 N=12358 NThread=4 | sum=1941.736863 Milliseconds passsed: 2694

 N=14271 NThread=4 | sum=2239.852504 Milliseconds passsed: 3623

 N=16184 NThread=4 | sum=2511.962975 Milliseconds passsed: 4633

 N=18097 NThread=4 | sum=2732.326705 Milliseconds passsed: 5792

 N=20010 NThread=4 | sum=3076.025735 Milliseconds passsed: 7072

 N=880 NThread=5 | sum=136.916484 Milliseconds passsed: 50

 N=2793 NThread=5 | sum=440.161794 Milliseconds passsed: 157

